0 3,  -1494,    584|0

2|-378, -162, 188|0

0|14966|0
584|0

2|-346, -238, -21|0

0|15066|0

1| 16925,    -94,   1849,      3,  -1494,    584|0

2|-378, -162, 188|0

0|14966|0

²Š0|15243|0

1| 16563,   -343,   1909,   -123,  -1487,    587|0

2|-188, -117, -21|0

0|15243|0

1| 16772,   -275,   1935,    -30,  -1437,    584|0

2|7, 176, 7|0

0|15280|0

1| 16658,   -206,   2335,    -30,  -1437,    584|0

2|-7, -252, 427|0

0|15357|0

1| 16408,   -540,   2182,    -53,  -1455,    571|0

2|-324, -593, -212|0

0|15092|0

1| 16754,   -272,   2252,    -53,  -1455,    571|0

2|-245, -147, -106|0

0|15433|0

1| 16638,   -196,   2374,    -70,  -1460,    570|0

2|-294, -307, -115|0

0|15441|0

1| 16758,   -253,   2373,    -70,  -1460,    570|0

2|-330, -362, -170|0

0|15579|0

1| 16813,   -290,   2080,   -114,  -1498,    576|0

2|-338, -502, 87|0

0|15447|0

1| 16768,   -274,   2048,   -114,  -1498,    576|0

2|-260, -446, 45|0

0|15880|0

1| 16902,   -271,   1961,    -86,  -1440,    556|0

2|-142, -291, 32|0

0|15563|0

1| 16649,   -262,   2113,   -105,  -1479,    542|0

2|-191, -211, 15|0

0|15848|0

1| 16779,   -119,   2075,   -105,  -1479,    542|0

2|-386, -564, 219|0

0|15692|0

1| 16676,   -233,   2224,   -114,  -1496,    574|0

2|-591, -679, 123|0

0|15359|0

1| 16748,   -393,   2130,   -114,  -1496,    574|0

2|-313, -474, 29|0

0|15391|0

1| 17231,   -537,   1721,    -95,  -1499,    570|0

2|-20, -6, -4|0

0|15288|0

1| 16807,   -176,   1751,    -95,  -1499,    570|0

2|-88, -301, 398|0

0|15555|0

1| 16657,   -321,   1772,    -49,  -1522,    584|0

2|-32, -136, -42|0

0|15346|0

1| 16614,   -279,   1944,    -49,  -1522,    584|0

2|-181, -324, -96|0

0|15774|0

1| 16759,   -279,   1861,    -61,  -1507,    582|0

2|-327, -261, -175|0

0|15214|0

1| 16599,   -250,   2138,    -73,  -1500,    609|0

2|-408, -417, -100|0

0|15721|0

1| 16693,   -346,   1841,    -73,  -1500,    609|0

2|-409, -477, -295|0

0|15153|0

1| 16857,   -151,   1765,    -48,  -1498,    604|0

2|-316, -402, 2|0

0|15172|0

1| 16732,   -253,   1869,    -48,  -1498,    604|0

2|-350, -381, -79|0

0|15206|0

1| 16780,   -272,   1921,    -73,  -1513,    619|0

2|-250, -333, -106|0

0|15853|0

1| 16764,   -243,   1970,    -73,  -1513,    619|0

2|-332, 57, 48|0

0|15380|0

1| 16652,   -224,   1943,    -60,  -1478,    614|0

2|-307, -213, 50|0

0|15388|0

1| 16636,   -290,   1864,    -83,  -1443,    592|0

2|-245, -320, -142|0

0|15367|0

1| 16863,   -241,   1913,    -83,  -1443,    592|0

2|-242, -423, 14|0

0|15074|0

1| 16755,   -282,   1911,    -70,  -1454,    621|0

2|-227, -206, -93|0

0|15206|0

1| 16760,   -227,   1909,    -70,  -1454,    621|0

2|-302, -470, -2|0

0|15428|0

1| 16966,   -222,   1774,    -76,  -1490,    576|0

2|-322, -154, -65|0

0|15468|0

1| 16564,   -204,   2015,    -76,  -1490,    576|0

2|-331, -126, -167|0

0|15085|0

1| 16681,   -131,   2017,    -64,  -1431,    569|0

2|-290, -454, -16|0

0|15132|0

1| 16832,   -246,   1888,    -64,  -1431,    569|0

