021,    -26,  -34259,    502,   2387,    819,    -81,  -3444|0

2|-287, -279, -45|0

0|15277|0

1| 16609,    527,   2504,    821,    -26,  -34259,    502,   2387,    819,    -81,  -3444|0

2|-287, -279, -45|0

0|15277|0

1| 16609,    527,   2504,    821,    -26,  -34252|-0|15684|0

1| 15891,    896,   3626,    922,   -138,  -3448|0

2|-840, 37, -943|0

0|15684|0

1| 15575,    992,   3789,    903,   -218,  -3438|0

2|-618, -736, 441|0

0|15476|0

1| 17046,    158,   3362,    903,   -218,  -3438|0

2|-1611, 390, -614|0

0|15314|0

1| 16371,    108,   4053,    869,   -235,  -3432|0

2|-1401, -474, -268|0

0|15542|0

1| 16453,   -231,   4051,    869,   -235,  -3432|0

2|-652, -722, -592|0

0|15510|0

1| 16385,   -150,   4146,    848,   -215,  -3465|0

2|-141, 133, -531|0

0|15232|0

1| 16989,    183,   3386,    848,   -215,  -3465|0

2|-111, 4786, 1297|0

0|15264|0

1| 19140,   1083,   2572,    810,   -285,  -3372|0

2|-804, 4740, -204|0

0|15283|0

1| 14597,   1043,   3943,   1008,   -359,  -3209|0

2|-956, -1285, -1496|0

0|15494|0

1| 14435,   1773,   3670,   1008,   -359,  -3209|0

2|-2139, -2013, -37|0

0|15882|0

1| 16582,    733,   3174,    981,   -275,  -3243|0

2|-735, -325, -684|0

0|15661|0

1| 15335,    678,   3817,    981,   -275,  -3243|0

2|-114, 99, 1264|0

0|15536|0

1| 15813,    211,   4853,    933,   -359,  -3204|0

2|188, -1342, 517|0

0|15827|0

1| 16303,    558,   4810,    933,   -359,  -3204|0

2|1208, 785, 1313|0

0|15380|0

1| 15364,    274,   5694,    873,   -459,  -3191|0

2|1954, -985, -461|0

0|15127|0

1| 16510,   1075,   4477,    865,   -726,  -3120|0

2|653, -1238, 506|0

0|15407|0

1| 18326,     69,   4522,    865,   -726,  -3120|0

2|2232, 713, 1112|0

0|15330|0

1| 19935,  -1779,   2685,    859,   -899,  -3030|0

2|2053, 4013, -1177|0

0|15690|0

1| 14161,   -387,   4141,    859,   -899,  -3030|0

2|341, -3681, 910|0

0|15436|0

1| 18057,   -575,   2744,   1006,  -1102,  -2816|0

2|681, -241, -154|0

0|15943|0

1| 14501,    418,   4185,   1006,  -1102,  -2816|0

2|-2113, -1621, -981|0

0|15610|0

1| 15210,    712,   5471,    992,  -1182,  -2772|0

2|-2218, -2112, 340|0

0|15357|0

1| 15927,    210,   5822,    843,  -1138,  -2834|0

2|-2102, -7, -56|0

0|15637|0

1| 14863,   -222,   5789,    843,  -1138,  -2834|0

2|-1031, -429, 2872|0

0|15499|0

1| 17652,  -1385,   4815,    736,  -1128,  -2843|0

2|-23, 3685, 48|0

0|15853|0

1| 17171,    576,   4987,    736,  -1128,  -2843|0

2|-2625, -4585, 2087|0

0|15563|0

1| 21790,  -1801,    761,    726,  -1229,  -2690|0

2|-2392, 2739, -2304|0

0|15452|0

1| 12672,    754,   4827,    726,  -1229,  -2690|0

2|-2141, -3040, 2391|0

0|15853|0

1| 17102,  -2100,   3828,    747,  -1110,  -2677|0

2|329, -692, -1785|0

0|15605|0

1| 14529,   -701,   4394,    556,  -1177,  -2670|0

2|1377, -1327, -1225|0

0|15513|0

1| 15441,   -125,   4430,    556,  -1177,  -2670|0

2|2136, -1649, 261|0

0|15468|0

1| 17482,   -425,   3445,    501,  -1351,  -2590|0

2|3036, 2839, -353|0

0|15357|0

1| 16904,   -227,   4015,    501,  -1351,  -2590|0

2|1381, -3219, -3172|0

0|15465|0

1| 23275,   -421,   -198,    596,  -1517,  -2362|0

2|1666, 6819, 453|0

0|15571|0

1| 14102,     26,   3987,    596,  -1517,  -2362|0

2|-134, -497, 2338|0

0|15161|0

1| 15268,  -1203,   3547,    577,  -1602,  -2273|0

2|-390, -1204, -1712|0

0|15447|0

1| 14812,   -211,   3867,    527,  -1652,  -2260|0

2|-1094, -1915, 547|0

0|15637|0

1| 15044,   -275,   5305,    527,  -1652,  -2260|0

2|-1654, -2374, -756|0

0|15085|0

1| 15623,   -126,   5868,    454,  -1629,  -2246|0

2|-1261, -516, 234|0

0|15021|0

1| 16149,   -746,   5747,    454,  -1629,  -2246|0

2|-262, 201, 332|0

0|15283|0

1| 20364,   -856,   3616,    429,  -1656,  -2266|0

2|-282, 2113, -2710|0

0|14939|0

1| 18725,   2085,   4408,    429,  -1656,  -2266|0

2|-715, 4401, 2031|0

0|15251|0

1| 14934,    351,   3823,    425,  -1679,  -2171|0

2|-1654, 26, 778|0

0|15243|0

1| 13851,    402,   3455,    439,  -1703,  -2138|0

2|-656, -1756, 1230|0

0|14889|0

1| 14799,   -604,   3660,    439,  -1703,  -2138|0

2|146, -2137, 224|0

0|14910|0

1| 14649,    -23,   4848,    358,  -1723,  -2149|0

2|1334, -2151, -673|0

0|14863|0

1| 15842,    234,   4679,    358,  -1723,  -2149|0

2|1198, -446, 525|0

0|14791|0

1| 16181,    601,   5084,    311,  -1764,  -2110|0

2|533, -377, -712|0

0|15362|0

1| 18657,    758,   4720,    311,  -1764,  -2110|0

2|410, -408, 0|0

0|15114|0

1| 19307,   -230,   4398,    279,  -1874,  -2105|0

2|1879, 2629, -629|0

0|15071|0

1| 16819,   -344,   3287,    317,  -1952,  -2044|0

2|-204, 522, 1136|0

0|15100|0

1| 15295,   -607,   3440,    317,  -1952,  -2044|0

2|151, 473, -496|0

0|15436|0

1| 14233,   -225,   3520,    295,  -2054,  -2078|0

2|-1028, -1515, 595|0

0|14968|0

1| 14565,   -359,   4244,    295,  -2054,  -2078|0

2|-2371, -947, 541|0

0|15291|0

1| 15251,  -1134,   5822,    251,  -2033,  -2144|0

2|-1224, -1369, -687|0

0|15637|0

1| 16982,  -1062,   6088,    251,  -2033,  -2144|0

2|64, -872, -937|0

0|15499|0

1| 18212,  -1199,   5062,    113,  -2080,  -2265|0

2|728, -453, -1732|0

0|15201|0

1| 18721,    197,   3563,    190,  -2044,  -2299|0

2|15, 2684, 2126|0

0|15346|0

1| 15831,    140,   3557,    190,  -2044,  -2299|0

2|220, -190, 1333|0

0|15964|0

1| 16719,    314,   2542,    100,  -2126,  -2326|0

2|-1340, -468, -34|0

0|15304|0

1| 15989,   -219,   2481,    100,  -2126,  -2326|0

2|289, -364, -31|0

0|15484|0

1| 15088,    718,   4488,    112,  -2130,  -2390|0

2|-101, -1348, 215|0

0|15441|0

1| 16413,    -31,   4312,    112,  -2130,  -2390|0

2|502, -6, 565|0

0|15156|0

1| 14783,    518,   5027,    -24,  -2188,  -2442|0

2|-198, -1563, 83|0

0|15444|0

1| 16303,    704,   5092,    -24,  -2188,  -2442|0

2|54, -1381, 435|0

0|15322|0

1| 17546,   -223,   5157,    -87,  -2260,  -2478|0

2|1102, 1342, 1570|0

0|15764|0

1| 16461,   -334,   6186,   -199,  -2308,  -2510|0

2|1611, -1533, -244|0

0|15544|0

1| 18434,   -582,   2426,   -199,  -2308,  -2510|0

2|840, 2998, -1001|0

0|15412|0

1| 13556,    456,   4551,   -181,  -2414,  -2488|0

2|-414, -3998, 1195|0

0|15769|0

1| 18697,  -1054,   2320,   -181,  -2414,  -2488|0

2|-671, 999, -1361|0

0|15489|0

1| 13617,    613,   4193,   -303,  -2465,  -2545|0

2|-1909, -2170, 1172|0

0|15338|0

1| 16830,  -1269,   3885,   -303,  -2465,  -2545|0

2|-1615, -190, 613|0

0|15631|0

1| 16358,  -1624,   5058,   -393,  -2363,  -2713|0

2|134, -17, -408|0

0|15145|0

1| 15941,  -1387,   5267,   -512,  -2387,  -2734|0

2|1270, -122, 125|0

0|15468|0

1| 17100,  -1606,   4589,   -512,  -2387,  -2734|0

2|1470, -241, -129|0

0|14971|0

1| 18535,   -624,   3820,   -504,  -2427,  -2699|0

2|1349, 1470, -396|0

0|15473|0

1| 16783,    210,   2418,   -504,  -2427,  -2699|0

2|-249, 698, -733|0

0|15330|0

1| 15834,    259,   2867,   -532,  -2524,  -2658|0

2|-1030, -1247, -731|0

0|15225|0

1| 16072,      7,   2980,   -532,  -2524,  -2658|0

2|-725, -396, 1337|0

0|15288|0

1| 15595,    -86,   3796,   -450,  -2463,  -2755|0

2|-480, -1112, 747|0

0|15079|0

1| 16484,    173,   4102,   -615,  -2440,  -2766|0

2|-296, 383, 1189|0

0|15108|0

1| 15093,   -114,   5622,   -615,  -2440,  -2766|0

2|152, -2801, 67|0

0|15050|0

1| 17452,   -355,   4031,   -704,  -2454,  -2768|0

2|554, 14, 122|0

0|15277|0

1| 17045,   -375,   4268,   -704,  -2454,  -2768|0

2|792, 1892, 987|0

0|15092|0

1| 16245,  -1061,   5059,   -708,  -2436,  -2736|0

2|1691, -2089, -99|0

0|15341|0

1| 18947,  -1130,   1659,   -708,  -2436,  -2736|0

2|12, 1357, 758|0

0|15499|0

1| 15699,  -1440,   4173,   -711,  -2529,  -2665|0

2|944, -1320, 411|0

0|15077|0

1| 17964,  -1989,   3023,   -711,  -2529,  -2665|0

2|-1267, 1328, -741|0

0|15359|0

1| 14303,  -1058,   5097,   -750,  -2512,  -2620|0

2|-1135, -1861, -784|0

0|14794|0

1| 15790,  -1193,   4389,   -721,  -2435,  -2680|0

2|-1270, -477, -1847|0

0|14995|0

1| 15392,   -891,   4932,   -721,  -2435,  -2680|0

2|-679, -930, -150|0

0|14910|0

1| 15254,  -1728,   5633,   -707,  -2346,  -2738|0

2|-35, -1563, -1644|0

0|15388|0

1| 16184,   -682,   5713,   -707,  -2346,  -2738|0

2|1012, -481, 561|0

0|15111|0

1| 18296,  -1335,   4999,   -635,  -2354,  -2715|0

2|663, 403, -551|0

0|14992|0

1| 17659,    216,   4323,   -635,  -2354,  -2715|0

2|603, 100, -143|0

0|15491|0

1| 17405,   -681,   2700,   -618,  -2332,  -2662|0

2|-502, 2090, -1061|0

0|14997|0

1| 13474,   1006,   3925,   -470,  -2304,  -2650|0

2|-393, -3599, -1535|0

0|15058|0

1| 18268,    -33,   1743,   -470,  -2304,  -2650|0

2|1326, 1087, -140|0

0|15518|0

1| 15106,    953,   3738,   -429,  -2345,  -2624|0

2|1305, -973, 739|0

0|15021|0

1| 16539,   1251,   3388,   -429,  -2345,  -2624|0

2|818, -1602, -274|0

0|14995|0

1| 16098,   1605,   3380,   -506,  -2310,  -2569|0

2|75, -586, 2442|0

0|15235|0

1| 17603,    790,   3716,   -506,  -2310,  -2569|0

2|-109, 399, 225|0

0|14947|0

1| 15937,    929,   4844,   -513,  -2333,  -2549|0

2|238, 376, 1191|0

0|14878|0

1| 16810,    500,   4949,   -529,  -2235,  -2543|0

2|688, 1337, 709|0

0|14878|0

1| 16212,      8,   4948,   -529,  -2235,  -2543|0

2|534, 1148, -1379|0

0|14836|0

1| 15496,    456,   3565,   -486,  -2263,  -2488|0

2|-1109, -2723, -2481|0

0|15383|0

1| 15514,    466,   2562,   -486,  -2263,  -2488|0

2|-1662, -1956, 5314|0

0|14770|0

1| 19220,  -3758,   4084,   -438,  -2152,  -2492|0

2|242, 1869, -1052|0

0|14569|0

1| 15167,  -1046,   5017,   -438,  -2152,  -2492|0

2|-1586, -305, -4555|0

0|14915|0

1| 15316,    606,   3980,   -479,  -2088,  -2513|0

2|-959, 1521, 825|0

0|15000|0

1| 14462,    104,   4242,   -386,  -1945,  -2558|0

2|-1465, 336, 986|0

0|14889|0

1| 17162,  -1452,   5693,   -386,  -1945,  -2558|0

2|748, 6722, -2153|0

0|15129|0

1| 18118,   -310,   4684,   -355,  -1883,  -2569|0

2|-1530, 2777, 444|0

0|14826|0

1| 16799,  -2044,   4963,   -355,  -1883,  -2569|0

2|-174, -484, 12|0

0|15132|0

1| 14120,   -215,   3260,   -207,  -1786,  -2558|0

2|-2962, -83, 330|0

0|15063|0

1| 14743,    301,   4112,   -207,  -1786,  -2558|0

2|-2668, -4672, -1619|0

0|15357|0

1| 17430,   -558,   2839,   -251,  -1656,  -2617|0

2|-944, -344, 464|0

0|15671|0

1| 15102,  -1042,   4536,   -303,  -1519,  -2664|0

2|-1033, -2454, 320|0

0|15399|0

1| 17418,  -1690,   4349,   -303,  -1519,  -2664|0

2|292, -666, 24|0

0|15526|0

1| 15519,   -366,   4820,   -314,  -1514,  -2658|0

2|-275, -259, 1242|0

0|15502|0

1| 15777,  -1172,   5034,   -314,  -1514,  -2658|0

2|1069, -735, -407|0

0|15365|0

1| 15844,   -924,   5266,   -270,  -1475,  -2635|0

2|1541, -548, -397|0

0|15045|0

1| 19073,   -719,   4052,   -270,  -1475,  -2635|0

2|2106, 2837, 25|0

0|15153|0

1| 18343,  -1776,   3753,   -179,  -1492,  -2531|0

2|1241, 3119, 628|0

0|15087|0

1| 14927,  -1588,   4033,   -179,  -1492,  -2531|0

2|1570, -2834, -2168|0

0|15380|0

1| 15043,   -908,   2779,    -40,  -1482,  -2424|0

2|155, -2027, -767|0

0|15013|0

1| 15360,   -613,   3732,     11,  -1466,  -2367|0

2|-443, -2248, 822|0

0|14535|0

1| 16816,   -848,   4274,     11,  -1466,  -2367|0

2|-1082, 491, 368|0

0|15003|0

1| 15462,   -831,   5407,    -54,  -1464,  -2378|0

2|-710, -433, -238|0

0|15473|0

1| 15215,   -966,   5596,    -54,  -1464,  -2378|0

2|306, -1647, -127|0

0|14807|0

1| 17393,  -1332,   4733,     41,  -1367,  -2384|0

2|671, 909, -337|0

0|14799|0

1| 17469,   -523,   4218,     41,  -1367,  -2384|0

2|-1077, -621, -723|0

0|14744|0

1| 20947,   -424,   1767,     55,  -1321,  -2353|0

2|-121, 2269, -1687|0

0|14807|0

1| 15562,    583,   2461,    160,  -1252,  -2354|0

2|-2516, 976, 1479|0

0|15042|0

1| 14066,   -811,   4480,    160,  -1252,  -2354|0

2|-1551, -4108, -1906|0

0|15497|0

1| 15385,   -524,   3231,    136,  -1165,  -2407|0

2|-359, -1547, -528|0

0|15145|0

1| 15547,    388,   3330,    136,  -1165,  -2407|0

2|-1159, -1987, -974|0

0|14815|0

1| 17172,    115,   3438,    156,  -1109,  -2429|0

2|247, -640, 1493|0

0|15328|0

1| 16580,   -370,   4290,    156,  -1109,  -2429|0

2|330, 367, 806|0

0|15172|0

1| 15776,    145,   4942,    122,  -1093,  -2451|0

2|1056, 74, 215|0

0|14979|0

1| 16483,    379,   4756,    143,  -1122,  -2424|0

2|1064, 648, 392|0

0|15132|0

1| 16727,    238,   4258,    143,  -1122,  -2424|0

2|64, -1475, 365|0

0|14905|0

1| 20712,  -1603,   1856,    190,  -1129,  -2419|0

2|251, 5491, -2200|0

0|14863|0

1| 13289,   -724,   3564,    190,  -1129,  -2419|0

2|33, -2273, 654|0

0|14950|0

1| 17939,  -2200,   2289,    284,  -1171,  -2397|0

2|1427, 267, -1213|0

0|14680|0

1| 15538,   -678,   2371,    284,  -1171,  -2397|0

2|138, 340, 189|0

0|15296|0

1| 15805,   -856,   3021,    293,  -1266,  -2400|0

2|-180, 114, -1577|0

0|15470|0

1| 15113,   -145,   3384,    332,  -1324,  -2396|0

2|-653, -907, 783|0

0|15499|0

1| 17136,    325,   2682,    332,  -1324,  
