1|159,0,0,0
0|-14242,-14064,1590,546,1054,2516,-110,-302,1437,-1120
1|140,0,0,0
0|-14136,-16684,4261,-61,1214,2335,161,3382,-6391,-899
1|163,0,0,0
0|-14073,-16597,292,2088,1371,2305,-67,-136,-4945,-267
1|77,0,0,0
0|-13920,-15081,216,5979,1473,2284,-521,752,-6116,1490
1|137,0,0,0
0|-14258,-12916,1855,10995,1595,1958,-901,5930,-9086,1116
1|133,0,0,0
0|-14263,-18639,1953,6674,1618,1609,-635,-3140,17362,-4690
1|151,0,0,0
0|-14306,-14622,1727,1213,499,1709,349,-2089,3867,-2734
1|159,0,0,0
0|-14496,-13133,3217,714,506,1852,606,-2655,-6855,-1063
1|0,0,0,0
0|-14496,-16261,117,2413,851,1874,399,-1016,-3761,-30
1|184,0,0,0
0|-14036,-15957,1212,5268,1032,1853,291,2033,-5800,1503
1|129,0,0,0
0|-13793,-10868,316,9620,1338,1860,-301,6446,-6329,-117
1|137,0,0,0
0|-13888,-19001,1724,6169,1004,2889,403,-8803,17870,-5305
1|142,0,0,0
0|-14062,-13413,1729,1321,-1945,2959,771,-7812,-4285,-384
1|150,0,0,0
0|-14395,-16933,1529,1014,-2293,2230,1997,2462,-1712,-1705
1|154,0,0,0
0|-14131,-16072,1113,2515,-2103,2164,2295,-197,-3860,198
1|154,0,0,0
0|-14321,-16552,-2358,4989,-1730,2085,2672,1967,-5450,100
1|158,0,0,0
0|-13994,-15591,2088,9999,-1136,2184,2735,7607,-10599,378
1|166,0,0,0
0|-14718,-16011,4465,6850,-2456,1659,419,-7432,19326,-3882
1|132,0,0,0
0|-14195,-13685,1935,4213,-920,982,-1114,-1593,3958,-2672
1|131,0,0,0
0|-14438,-17424,1778,440,-925,1115,-406,5718,-6331,-1260
1|100,0,0,0
0|-14025,-15698,334,1913,-994,1144,-158,-2764,-3281,-39
1|109,0,0,0
0|-14675,-16010,284,5060,-907,1123,110,2697,-4840,-211
1|136,0,0,0
0|-14105,-11937,3442,10767,-776,1514,130,6041,-7579,386
1|138,0,0,0
0|-14538,-12642,3637,4753,-835,2093,-498,5024,8272,-4589
1|108,0,0,0
0|-14147,-18212,3638,5890,-427,2784,-1446,-2864,14832,-4885
1|91,0,0,0
0|-14401,-18481,1386,4506,-281,3096,-774,-6811,-7533,-704
1|130,0,0,0
0|-14633,-15879,158,1727,-515,3116,-264,-1853,-2597,-415
1|98,0,0,0
0|-13877,-16486,109,2823,-533,3133,46,378,-837,-70
1|111,0,0,0
