1|072,-147,409,-3431,991,1548,-415,-242,11
148,0,0,0
0|-14274,-16271,32,337,-3461,1040,1550,-315,-293,-49
1|147,0,0,0
0|-14205,-16272,-147,409,-3431,991,1548,-415,-242,11
1|147,0,0,0
0|-14422,-16297,343,606,-3351,1039,1710,384,-354,64
1|147,0,0,0
0|-13978,-16241,697,946,-3346,1034,1649,-52,-31,-179
1|150,0,0,0
0|-14290,-16240,375,112,-3448,1123,1489,813,-527,765
1|125,0,0,0
0|-14691,-14643,-109,-3033,-2919,1949,1799,2534,1501,840
1|107,0,0,0
0|-14453,-13856,1253,187,-3892,1106,-903,-770,336,-1342
1|74,0,0,0
0|-14274,-16983,1373,2203,-3908,925,-498,-841,-3949,488
1|102,0,0,0
0|-14047,-15313,-345,3931,-3894,932,-152,2474,-2553,275
1|18,0,0,0
0|-14527,-16797,1025,4520,-3505,1189,916,1724,-8241,2478
1|21,0,0,0
0|-14543,-16692,3295,4804,-2285,1646,266,-4458,21033,-7465
1|82,0,0,0
0|-14358,-13340,1223,176,-1019,1320,-1409,-2823,773,-626
1|87,0,0,0
0|-14364,-19066,1716,1016,-853,1652,-725,1475,-4145,-3213
1|52,0,0,0
0|-14654,-16158,-6,2480,-1064,1468,-702,-2474,-3822,89
1|75,0,0,0
0|-14041,-15826,-1131,5238,-1058,1488,-411,-1560,-3770,1138
1|41,0,0,0
0|-14237,-15945,2346,7920,-956,1579,-180,6733,-10039,393
1|86,0,0,0
0|-14417,-19154,2984,5830,-387,1335,-649,-4486,18658,-6420
1|0,0,0,0
0|-14586,-12949,1401,426,-259,1000,-627,-1542,783,-1211
1|264,0,0,0
0|-14263,-17283,6504,624,-50,873,-415,8593,-4866,-2040
1|284,0,0,0
0|-14274,-16429,845,2441,-54,925,-382,-3539,-4242,381
1|39,0,0,0
0|-14543,-15745,137,4896,1,951,-406,639,-4666,421
1|44,0,0,0
0|-14496,-13198,1191,10152,134,1136,-561,6267,-9764,-1261
1|99,0,0,0
0|-14321,-19127,1963,6822,671,1434,-1577,-3650,17938,-6745
1|196,0,0,0
0|-14654,-13423,1519,2333,1638,2945,-737,1406,-488,-1630
1|186,0,0,0
0|-14094,-15938,3833,1107,1566,3335,-496,7756,-5132,-2431
1|185,0,0,0
0|-14311,-16408,-579,1633,1309,3317,-1216,879,-3136,316
1|184,0,0,0
0|-14749,-15686,55,4538,1278,3317,-1407,251,-3934,1393
1|183,0,0,0
0|-14527,-17500,2085,5543,1169,3242,-1778,1748,-8053,4246
1|286,0,0,0
0|-14364,-10128,1675,3785,889,3026,-2794,11349,8690,-3256
1|122,0,0,0
0|-14168,-18081,1477,4271,3309,3845,-2578,-4333,13483,-6169
1|0,0,0,0
0|-13967,-13964,895,561,3228,5365,546,-5470,-4976,342
1|48,0,0,0
0|-14596,-16272,2047,11,3662,5656,732,3983,-5027,-689
1|0,0,0,0
0|-13999,-16046,1219,3034,3716,5813,96,4463,-1899,-537
1|26,0,0,0
0|-14427,-16733,133,5664,3980,5708,-773,1216,-6350,2196
1|46,0,0,0
0|-13994,-9781,2705,2686,4108,4300,-3256,14842,272,-1580
1|127,0,0,0
0|-14808,-18778,2127,3498,3411,5895,-70,-6909,14379,-6235
1|246,0,0,0
0|-14126,-23998,3078,-29545,875,5742,2046,-4128,-1590,161
1|44,0,0,0
0|-14638,-16402,-1754,194,1673,5447,2735,-1253,-2004,-289
1|81,0,0,0
0|-14068,-16020,-576,2538,1861,5538,2489,-1600,-4133,919
1|15,0,0,0
0|-14385,-17403,2542,5277,3236,5378,1277,5584,-10082,2731
1|23,0,0,0
0|-14453,-14105,1283,3371,2851,5091,-1647,6041,14957,-7763
1|168,0,0,0
0|-14184,-14167,3532,4549,-663,4633,960,1438,6520,-3607
1|36,0,0,0
0|-14517,-18504,8393,1060,-1298,4081,512,-12361,-7831,1070
1|0,0,0,0
0|-14485,-15988,63,999,-1039,3719,1319,-2279,-3768,-145
1|0,0,0,0
0|-14490,-15936,-865,4244,-703,3750,1275,1063,-3939,555
1|17,0,0,0
0|-14417,-14355,1688,6307,-84,3840,848,3758,-8537,2981
1|22,0,0,0
0|-13983,-17757,3487,6551,250,3047,-2101,-4629,17319,-9428
1|105,0,0,0
0|-14834,-14395,253,-106,1922,3002,-518,407,245,-1793
1|0,0,0,0
0|-14940,-17340,3233,4413,2236,2927,101,-7669,-6586,-364
1|0,0,0,0
0|-14797,-16575,-195,1116,2459,2950,-171,824,-3060,-191
1|0,0,0,0
0|-14168,-16281,-404,3467,2587,2879,-414,-567,-3387,964
1|27,0,0,0
0|-14876,-17112,1142,6029,2789,2710,-925,711,-6286,2390
1|40,0,0,0
0|-14432,-10373,3670,4131,2803,2367,-1491,9071,8683,-3498
1|99,0,0,0
0|-14517,-15786,2627,1775,390,2649,1840,-2414,9889,-4160
1|106,0,0,0
0|-14533,-15687,54,-1167,-392,1917,1853,-4978,-7589,-159
1|219,0,0,0
0|-14612,-15640,-1990,1432,246,1122,2186,2301,-4309,-63
1|219,0,0,0
0|-14369,-16008,-1024,3830,649,1285,2029,929,-3074,320
1|18,0,0,0
