2| 16847,  -1456,   2422,   -510,   1107,    998|0

2352,   2647,   -542,   1068,   1033|0

2|-379, -388, -65|0

0|14728|0

1| 16847,  -1456,   2422,   -510,   1107,    998|0

2|52,   2647,   -542,   1068,   1033|0

2|-379, -388, -65|0

0|14728|0

1| 16847,  -1456,   2422,   -510,   1107,    998|0

2|	jš0|14926|0

1| 14790,  -1263,   3372,   -440,   1113,   1045|0

2|393, 1805, 457|0

0|14926|0

1| 14730,  -1136,   3092,   -534,   1133,   1022|0

2|212, -569, -206|0

0|14532|0

1| 16027,  -1180,   3106,   -534,   1133,   1022|0

2|53, -936, 755|0

0|15124|0

1| 15995,  -1232,   3911,   -558,   1209,   1013|0

2|262, -543, 418|0

0|15124|0

1| 16662,  -1424,   3528,   -558,   1209,   1013|0

2|-590, 1393, 26|0

0|15098|0

1| 16371,  -2336,   4313,   -564,   1338,    993|0

2|247, -4620, -1984|0

0|14910|0

1| 20900,   -341,   -475,   -564,   1338,    993|0

2|454, 4506, 837|0

0|14947|0

1| 14640,  -1677,   3429,   -597,   1367,    985|0

2|214, -893, 161|0

0|14868|0

1| 16797,   -809,   2612,   -713,   1467,    904|0

2|-339, 1616, 611|0

0|14701|0

1| 14500,  -1543,   3416,   -713,   1467,    904|0

2|-1437, -283, -361|0

0|14876|0

1| 14954,  -1771,   3406,   -759,   1538,    930|0

2|-1302, -2258, -679|0

0|14902|0

1| 16145,  -2153,   3610,   -759,   1538,    930|0

2|-595, -2340, -1110|0

0|14881|0

1| 16727,  -1901,   3596,   -702,   1525,    986|0

2|-276, -1504, -141|0

0|14886|0

1| 17559,  -2029,   2808,   -702,   1525,    986|0

2|-1442, 2686, -443|0

0|14635|0

1| 19521,   -946,   3070,   -684,   1568,   1008|0

2|-2404, 162, 1903|0

0|14894|0

1| 18194,  -1070,   1390,   -756,   1562,   1001|0

2|-1001, 1014, 156|0

0|14577|0

1| 15791,   -974,   1745,   -756,   1562,   1001|0

2|-937, -729, 59|0

0|15230|0

1| 15664,  -1321,   1481,   -809,   1613,   1066|0

2|-614, -751, 318|0

0|14960|0

1| 15754,  -1519,   2611,   -809,   1613,   1066|0

2|-127, -738, -652|0

0|15296|0

1| 16182,  -1568,   2686,   -815,   1615,   1070|0

2|-126, -1452, -853|0

0|15243|0

1| 15762,  -1186,   3298,   -815,   1615,   1070|0

2|-332, -2120, 940|0

0|14878|0

1| 16306,  -1699,   3678,   -784,   1672,   1096|0

2|-436, 218, -1305|0

0|14767|0

1| 16646,   -670,   3618,   -732,   1715,   1127|0

2|-603, 497, 315|0

0|14815|0

1| 16945,  -1327,   3258,   -732,   1715,   1127|0

2|50, -683, 180|0

0|14683|0

1| 20111,  -1593,   1394,   -693,   1714,   1111|0

2|1343, 3045, 1957|0

0|14794|0

1| 14687,  -1645,   2392,   -693,   1714,   1111|0

2|1014, -395, -1196|0

0|14712|0

1| 16560,  -2147,   1957,   -768,   1901,   1075|0

2|-231, -562, 661|0

0|15140|0

1| 15708,  -1009,   2107,   -768,   1901,   1075|0

2|577, 111, 26|0

0|14870|0

1| 14878,  -1822,   3176,   -700,   1982,   1083|0

2|-49, -1690, -178|0

0|14635|0

1| 16447,  -1844,   2772,   -700,   1982,   1083|0

2|-574, -877, -50|0

0|14773|0

1| 16078,  -2127,   3188,   -614,   1976,   1070|0

2|-826, -110, -733|0

0|15029|0

1| 16354,  -1996,   3508,   -611,   1963,   1106|0

2|-1560, -1136, -336|0

0|15055|0

1| 17528,  -2307,   3011,   -611,   1963,   1106|0

2|-1194, 1511, 80|0

0|14781|0

1| 16910,  -2204,   3810,   -581,   1957,   1148|0

2|-1118, -855, 545|0

0|15106|0

1| 18048,  -1727,   1880,   -581,   1957,   1148|0

2|-790, 2195, 1621|0

0|15201|0

1| 15047,  -1230,   2450,   -540,   1942,   1217|0

2|-740, 414, 65|0

0|14958|0

1| 15055,  -1677,   2636,   -540,   1942,   1217|0

2|-839, -2130, -332|0

0|14773|0

1| 17854,  -1527,   1821,   -563,   1917,   1185|0

2|359, 1193, 34|0

0|14878|0

1| 15230,  -1525,   3306,   -490,   1900,   1221|0

2|585, -1284, 194|0

0|15040|0

1| 16345,  -1671,   3128,   -490,   1900,   1221|0

2|551, -1232, 65|0

0|15198|0

1| 16617,  -1397,   3093,   -347,   1988,   1231|0

2|1222, -428, 365|0

0|14934|0

1| 15829,  -2126,   3554,   -347,   1988,   1231|0

2|958, -802, -850|0

0|14855|0

1| 17186,  -1625,   2927,   -335,   2104,   1155|0

2|1017, 562, 892|0

0|15011|0

1| 17481,  -2298,   4186,   -335,   2104,   1155|0

2|3002, 716, 830|0

0|15032|0

1| 17116,  -2421,   2378,   -276,   2206,   1096|0

2|3815, 2167, 1499|0

0|15156|0

1| 15133,  -3268,   3331,   -276,   2206,   1096|0

2|4655, -3326, -636|0

0|14870|0

1| 18235,  -2844,    871,   -273,   2434,    905|0

2|5504, 419, 180|0

0|14868|0

1| 14536,  -2380,   3194,   -155,   2687,    610|0

2|5949, -2245, 845|0

0|14749|0

1| 16825,  -2245,   2844,   -155,   2687,    610|0

2|5899, -926, 522|0

0|15293|0

1| 16674,  -1852,   2554,    -91,   2940,    240|0

2|4994, -696, 1410|0

0|14836|0

1| 15571,  -1903,   3248,    -91,   2940,    240|0

2|4927, -356, 647|0

0|14878|0

1| 15816,  -2372,   3355,     40,   3088,   -128|0

2|4605, -358, 620|0

0|15000|0

1| 17053,  -1846,   2960,     40,   3088,   -128|0

2|4692, 1269, 423|0

0|15024|0

1| 17966,  -1202,   3647,    127,   3192,   -483|0

2|3768, -1010, 1871|0

0|15050|0

1| 15652,  -1100,   2919,    208,   3200,   -798|0

2|5136, -2377, 1855|0

0|14955|0

1| 18093,  -2390,   1895,    208,   3200,   -798|0

2|5081, 873, 754|0

0|14865|0

1| 16108,  -1544,   3033,    354,   3211,  -1179|0

2|4791, -1337, 2031|0

0|15132|0

1| 15428,  -1896,   3727,    354,   3211,  -1179|0

2|5724, -609, 1094|0

0|14762|0

1| 15884,  -1714,   3515,    425,   3140,  -1527|0

2|4932, -1238, 450|0

0|15040|0

1| 15642,  -1372,   3919,    425,   3140,  -1527|0

2|4484, -1965, 1750|0

0|15079|0

